Year,Total carbon emissions from fossil fuel consumption and cement production (million metric tons of C),Carbon emissions from gas fuel consumption,Carbon emissions from liquid fuel consumption,Carbon emissions from solid fuel consumption,Carbon emissions from cement production,Carbon emissions from gas flaring,Per capita carbon emissions (metric tons of carbon; after 1949 only)
1986,5583,830,2293,2277,137,46,1.13
1987,5725,892,2306,2339,143,44,1.14
1988,5936,935,2412,2387,152,50,1.16
1989,6066,982,2459,2428,156,41,1.16
1990,6074,1026,2492,2359,157,40,1.14
1991,6142,1051,2601,2284,161,45,1.14
1992,6078,1085,2499,2290,167,36,1.11
1993,6070,1117,2515,2225,176,37,1.09
1994,6174,1133,2539,2278,186,39,1.09
1995,6305,1151,2560,2359,197,39,1.1
1996,6448,1198,2626,2382,203,40,1.11
1997,6556,1197,2701,2409,209,40,1.11
1998,6576,1224,2763,2343,209,36,1.1
1999,6561,1258,2741,2310,217,35,1.08
2000,6733,1289,2845,2327,226,46,1.1
2001,6893,1316,2848,2445,237,47,1.11
2002,6994,1342,2832,2518,252,49,1.11
2003,7376,1397,2958,2695,276,48,1.16
2004,7743,1443,3043,2906,298,54,1.2
2005,8042,1485,3068,3108,320,60,1.23
2006,8336,1534,3091,3293,356,62,1.26
2007,8503,1562,3071,3422,382,66,1.27
2008,8776,1630,3103,3587,388,69,1.3
2009,8697,1584,3042,3590,415,66,1.27
2010,9128,1696,3107,3812,446,67,1.32
2011,9503,1756,3134,4055,494,64,1.36
2012,9673,1783,3200,4106,519,65,1.36
2013,9773,1806,3220,4126,554,68,1.36
2014,9855,1823,3280,4117,568,68,1.36
